year	lifeExp	country	continent	pop	gdpPercap
1952	28.801	Afghanistan	Asia	8425333	779.4453145
1952	30	Gambia	Africa	284320	485.2306591
1952	30.015	Angola	Africa	4232095	3520.610273
1952	30.331	Sierra Leone	Africa	2143249	879.7877358
1952	31.286	Mozambique	Africa	6446316	468.5260381
1952	31.975	Burkina Faso	Africa	4469979	543.2552413
1952	32.5	Guinea-Bissau	Africa	580653	299.850319
1952	32.548	Yemen, Rep.	Asia	4963829	781.7175761
1952	32.978	Somalia	Africa	2526994	1135.749842
1952	33.609	Guinea	Africa	2664249	510.1964923
1952	33.685	Mali	Africa	3838168	452.3369807
1952	34.078	Ethiopia	Africa	20860941	362.1462796
1952	34.482	Equatorial Guinea	Africa	216964	375.6431231
1952	34.812	Djibouti	Africa	63149	2669.529475
1952	35.463	Central African Republic	Africa	1291695	1071.310713
1952	35.928	Eritrea	Africa	1438760	328.9405571
1952	36.157	Nepal	Asia	9182536	545.8657229
1952	36.256	Malawi	Africa	2917802	369.1650802
1952	36.319	Myanmar	Asia	20092996	331
1952	36.324	Nigeria	Africa	33119096	1077.281856
1952	36.681	Madagascar	Africa	4762912	1443.011715
1952	37.003	Gabon	Africa	420702	4293.476475
1952	37.278	Senegal	Africa	2755589	1450.356983
1952	37.373	India	Asia	372000000	546.5657493
1952	37.444	Niger	Africa	3379468	761.879376
1952	37.468	Indonesia	Asia	82052000	749.6816546
1952	37.484	Bangladesh	Asia	46886859	684.2441716
1952	37.578	Oman	Asia	507833	1828.230307
1952	37.579	Haiti	Americas	3201488	1840.366939
1952	38.092	Chad	Africa	2682462	1178.665927
1952	38.223	Benin	Africa	1738315	1062.7522
1952	38.48	Liberia	Africa	863308	575.5729961
1952	38.523	Cameroon	Africa	5009067	1172.667655
1952	38.596	Togo	Africa	1219113	859.8086567
1952	38.635	Sudan	Africa	8504667	1615.991129
1952	39.031	Burundi	Africa	2445618	339.2964587
1952	39.143	Congo, Dem. Rep.	Africa	14100005	780.5423257
1952	39.417	Cambodia	Asia	4693836	368.4692856
1952	39.875	Saudi Arabia	Asia	4005677	6459.554823
1952	39.978	Uganda	Africa	5824797	734.753484
1952	40	Rwanda	Africa	2534927	493.3238752
1952	40.412	Vietnam	Asia	26246839	605.0664917
1952	40.414	Bolivia	Americas	2883315	2677.326347
1952	40.477	Cote d'Ivoire	Africa	2977019	1388.594732
1952	40.543	Mauritania	Africa	1022556	743.1159097
1952	40.715	Comoros	Africa	153936	1102.990936
1952	41.215	Tanzania	Africa	8322925	716.6500721
1952	41.407	Swaziland	Africa	290243	1148.376626
1952	41.725	Namibia	Africa	485831	2423.780443
1952	41.893	Egypt	Africa	22223309	1418.822445
1952	41.912	Honduras	Americas	1517453	2194.926204
1952	42.023	Guatemala	Americas	3146381	2428.237769
1952	42.038	Zambia	Africa	2672000	1147.388831
1952	42.111	Congo, Rep.	Africa	854885	2125.621418
1952	42.138	Lesotho	Africa	748747	298.8462121
1952	42.244	Mongolia	Asia	800663	786.5668575
1952	42.27	Kenya	Africa	6464046	853.540919
1952	42.314	Nicaragua	Americas	1165790	3112.363948
1952	42.723	Libya	Africa	1019729	2387.54806
1952	42.873	Morocco	Africa	9939217	1688.20357
1952	43.077	Algeria	Africa	9279525	2449.008185
1952	43.149	Ghana	Africa	5581001	911.2989371
1952	43.158	Jordan	Asia	607914	1546.907807
1952	43.16	West Bank and Gaza	Asia	1030585	1515.592329
1952	43.436	Pakistan	Asia	41346560	684.5971438
1952	43.585	Turkey	Europe	22235677	1969.10098
1952	43.902	Peru	Americas	8025700	3758.523437
1952	44	China	Asia	556263527	400.448611
1952	44.6	Tunisia	Africa	3647735	1468.475631
1952	44.869	Iran	Asia	17272000	3035.326002
1952	45.009	South Africa	Africa	14264935	4725.295531
1952	45.262	El Salvador	Americas	2042865	3048.3029
1952	45.32	Iraq	Asia	5441766	4129.766056
1952	45.883	Syria	Asia	3661549	1643.485354
1952	45.928	Dominican Republic	Americas	2491346	1397.717137
1952	46.471	Sao Tome and Principe	Africa	60011	879.5835855
1952	47.453	Korea, Rep.	Asia	20947571	1030.592226
1952	47.622	Botswana	Africa	442308	851.2411407
1952	47.752	Philippines	Asia	22438691	1272.880995
1952	48.357	Ecuador	Americas	3548753	3522.110717
1952	48.451	Zimbabwe	Africa	3080907	406.8841148
1952	48.463	Malaysia	Asia	6748378	1831.132894
1952	50.056	Korea, Dem. Rep.	Asia	8865488	1088.277758
1952	50.643	Colombia	Americas	12350771	2144.115096
1952	50.789	Mexico	Americas	30144317	3478.125529
1952	50.848	Thailand	Asia	21289402	757.7974177
1952	50.917	Brazil	Americas	56602560	2108.944355
1952	50.939	Bahrain	Asia	120447	9867.084765
1952	50.986	Mauritius	Africa	516556	1967.955707
